suite,concept,scale,declarative_score,declarative_pct
pythia,text formatting,6.9B,2.0,100.0
pythia,text formatting,12B,2.0,100.0
pythia,text spacing,160M,1.0,50.0
pythia,text spacing,410M,0.0,0.0
pythia,text spacing,1B,1.0,50.0
pythia,text spacing,2.8B,1.0,50.0
pythia,text spacing,6.9B,1.0,50.0
pythia,text spacing,12B,1.0,50.0
pythia,tool tip,160M,0.0,0.0
pythia,tool tip,410M,0.0,0.0
pythia,tool tip,1B,0.0,0.0
pythia,tool tip,2.8B,2.0,100.0
pythia,tool tip,6.9B,0.0,0.0
pythia,tool tip,12B,2.0,100.0
pythia,touch target,160M,2.0,100.0
pythia,touch target,410M,1.0,50.0
pythia,touch target,1B,0.0,0.0
pythia,touch target,2.8B,1.0,50.0
pythia,touch target,6.9B,1.0,50.0
pythia,touch target,12B,2.0,100.0
pythia,tree grid,160M,0.0,0.0
pythia,tree grid,410M,0.0,0.0
pythia,tree grid,1B,0.0,0.0
pythia,tree grid,2.8B,0.0,0.0
pythia,tree grid,6.9B,1.0,50.0
pythia,tree grid,12B,1.0,50.0
pythia,universal design,160M,0.0,0.0
pythia,universal design,410M,0.0,0.0
pythia,universal design,1B,0.0,0.0
pythia,universal design,2.8B,1.0,50.0
pythia,universal design,6.9B,1.0,50.0
pythia,universal design,12B,1.0,50.0
gpt2,ARIA,124M,0.0,0.0
gpt2,ARIA,355M,0.0,0.0
gpt2,ARIA,774M,0.0,0.0
gpt2,ARIA,1.5B,0.0,0.0
gpt2,WCAG,124M,0.0,0.0
gpt2,WCAG,355M,0.0,0.0
gpt2,WCAG,774M,0.0,0.0
gpt2,WCAG,1.5B,2.0,100.0
gpt2,accessibility tree,124M,1.0,50.0
gpt2,accessibility tree,355M,1.0,50.0
gpt2,accessibility tree,774M,1.0,50.0
gpt2,accessibility tree,1.5B,1.0,50.0
gpt2,accessible authentication,124M,1.0,50.0
gpt2,accessible authentication,355M,1.0,50.0
gpt2,accessible authentication,774M,1.0,50.0
gpt2,accessible authentication,1.5B,1.0,50.0
gpt2,accessible description,124M,1.0,50.0
gpt2,accessible description,355M,1.0,50.0
gpt2,accessible description,774M,1.0,50.0
gpt2,accessible description,1.5B,2.0,100.0
gpt2,accessible name,124M,2.0,100.0
gpt2,accessible name,355M,0.0,0.0
gpt2,accessible name,774M,0.0,0.0
gpt2,accessible name,1.5B,0.0,0.0
gpt2,alt text,124M,1.0,50.0
gpt2,alt text,355M,1.0,50.0
gpt2,alt text,774M,1.0,50.0
gpt2,alt text,1.5B,2.0,100.0
gpt2,audio description,124M,0.0,0.0
gpt2,audio description,355M,0.0,0.0
gpt2,audio description,774M,0.0,0.0
gpt2,audio description,1.5B,0.0,0.0
gpt2,character key,124M,0.0,0.0
gpt2,character key,355M,0.0,0.0
gpt2,character key,774M,0.0,0.0
gpt2,character key,1.5B,0.0,0.0
gpt2,closed captions,124M,0.0,0.0
gpt2,closed captions,355M,0.0,0.0
gpt2,closed captions,774M,0.0,0.0
gpt2,closed captions,1.5B,2.0,100.0
gpt2,cognitive disabilities,124M,2.0,100.0
gpt2,cognitive disabilities,355M,2.0,100.0
gpt2,cognitive disabilities,774M,2.0,100.0
