condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
natural,gpt2,gpt2-large,34,7,0.02,0.9260958020254711,24,0.965507549129855
natural,gpt2,gpt2-large,30,12,0.020869565217391303,0.9228917031216202,24,0.965507549129855
natural,gpt2,gpt2-large,33,6,0.023478260869565212,0.9132865779270147,24,0.965507549129855
natural,gpt2,gpt2-large,26,4,0.02434782608695652,0.9100874200789535,24,0.965507549129855
natural,gpt2,gpt2-large,24,15,0.02869565217391304,0.8941129145750657,24,0.957978122758999
natural,gpt2,gpt2-large,24,6,0.029565217391304344,0.8909226043767046,24,0.957978122758999
natural,gpt2,gpt2-large,32,10,0.03043478260869565,0.8877339355759605,24,0.957978122758999
natural,gpt2,gpt2-large,34,3,0.03217391304347826,0.8813617120284872,24,0.9571348908906648
natural,gpt2,gpt2-large,34,11,0.033913043478260865,0.8749966229566861,24,0.9571348908906648
natural,gpt2,gpt2-large,24,9,0.034782608695652174,0.8718168719786574,24,0.9571348908906648
natural,gpt2,gpt2-large,35,1,0.03913043478260869,0.855947935071337,24,0.9571348908906648
natural,gpt2,gpt2-large,30,7,0.040869565217391296,0.8496151500324182,24,0.9571348908906648
