condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
uniform,gpt2,gpt2-large,35,15,-0.19217391304347822,0.3683204887556275,24,0.93403958759357
uniform,gpt2,gpt2-large,29,0,-0.19043478260869565,0.3727527778427131,24,0.93403958759357
uniform,gpt2,gpt2-large,31,6,-0.1869565217391304,0.3817089686350579,24,0.93403958759357
uniform,gpt2,gpt2-large,30,16,-0.1869565217391304,0.3817089686350579,24,0.93403958759357
uniform,gpt2,gpt2-large,31,14,-0.18608695652173912,0.38396703397174825,24,0.93403958759357
uniform,gpt2,gpt2-large,27,12,-0.1843478260869565,0.38850589974170063,24,0.93403958759357
uniform,gpt2,gpt2-large,26,5,-0.1782608695652174,0.4046292620718749,24,0.9369126230254747
uniform,gpt2,gpt2-large,34,12,-0.17391304347826084,0.41636999529355606,24,0.9369126230254747
uniform,gpt2,gpt2-large,31,12,-0.17391304347826084,0.41636999529355606,24,0.9369126230254747
uniform,gpt2,gpt2-large,26,15,-0.1660869565217391,0.4379669016082391,24,0.9369126230254747
uniform,gpt2,gpt2-large,27,17,-0.1660869565217391,0.4379669016082391,24,0.9369126230254747
uniform,gpt2,gpt2-large,30,13,-0.16260869565217392,0.44775415138241526,24,0.9369126230254747
uniform,gpt2,gpt2-large,30,19,-0.16,0.4551697202154259,24,0.9369126230254747
uniform,gpt2,gpt2-large,27,10,-0.1591304347826087,0.45765578201494633,24,0.9369126230254747
uniform,gpt2,gpt2-large,35,8,-0.15652173913043477,0.46515629787569074,24,0.9369126230254747
uniform,gpt2,gpt2-large,31,19,-0.15652173913043477,0.46515629787569074,24,0.9369126230254747
uniform,gpt2,gpt2-large,27,18,-0.15391304347826085,0.4727198668976152,24,0.9369126230254747
uniform,gpt2,gpt2-large,33,2,-0.15304347826086956,0.4752549676743846,24,0.9369126230254747
uniform,gpt2,gpt2-large,28,12,-0.15130434782608695,0.4803459029793671,24,0.9369126230254747
uniform,gpt2,gpt2-large,25,4,-0.15043478260869564,0.4829016923237181,24,0.9369126230254747
uniform,gpt2,gpt2-large,35,3,-0.14782608695652172,0.49061007074296015,24,0.9369126230254747
uniform,gpt2,gpt2-large,24,16,-0.14608695652173911,0.4957829296843137,24,0.9369126230254747
uniform,gpt2,gpt2-large,27,2,-0.14608695652173911,0.4957829296843137,24,0.9369126230254747
uniform,gpt2,gpt2-large,31,4,-0.13739130434782607,0.5220471463273303,24,0.9486880446319079
uniform,gpt2,gpt2-large,32,0,-0.13565217391304346,0.527378541905856,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,19,-0.12956521739130433,0.546239269258583,24,0.9486880446319079
uniform,gpt2,gpt2-large,27,15,-0.12608695652173912,0.5571544076689684,24,0.9486880446319079
uniform,gpt2,gpt2-large,31,13,-0.1243478260869565,0.5626487416883165,24,0.9486880446319079
uniform,gpt2,gpt2-large,27,19,-0.1243478260869565,0.5626487416883165,24,0.9486880446319079
uniform,gpt2,gpt2-large,32,11,-0.1217391304347826,0.5709355226889165,24,0.9486880446319079
uniform,gpt2,gpt2-large,30,18,-0.11478260869565216,0.5932933336915411,24,0.9486880446319079
uniform,gpt2,gpt2-large,25,15,-0.10956521739130433,0.610301978528463,24,0.9486880446319079
uniform,gpt2,gpt2-large,29,17,-0.10869565217391304,0.6131561977406331,24,0.9486880446319079
uniform,gpt2,gpt2-large,35,14,-0.10173913043478258,0.6361837822056855,24,0.9486880446319079
uniform,gpt2,gpt2-large,35,5,-0.10173913043478258,0.6361837822056855,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,18,-0.10086956521739131,0.6390859319090779,24,0.9486880446319079
uniform,gpt2,gpt2-large,35,4,-0.09913043478260869,0.6449056390307348,24,0.9486880446319079
uniform,gpt2,gpt2-large,34,19,-0.09739130434782609,0.6507456469889162,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,0,-0.09652173913043478,0.6536731719946907,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,12,-0.09217391304347824,0.6683845191595215,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,9,-0.09130434782608696,0.6713412695646411,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,15,-0.08869565217391304,0.6802397967489956,24,0.9486880446319079
uniform,gpt2,gpt2-large,29,6,-0.08782608695652173,0.6832152692148052,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,0,-0.08521739130434783,0.6921690316499881,24,0.9486880446319079
uniform,gpt2,gpt2-large,33,0,-0.08434782608695651,0.69516260313585,24,0.9486880446319079
uniform,gpt2,gpt2-large,33,11,-0.08434782608695651,0.69516260313585,24,0.9486880446319079
uniform,gpt2,gpt2-large,34,9,-0.08347826086956521,0.6981606006787423,24,0.9486880446319079
uniform,gpt2,gpt2-large,30,17,-0.08173913043478259,0.7041697144360881,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,8,-0.07826086956521738,0.7162392905010878,24,0.9486880446319079
uniform,gpt2,gpt2-large,29,3,-0.07739130434782608,0.7192671455433247,24,0.9486880446319079
uniform,gpt2,gpt2-large,34,2,-0.07391304347826086,0.7314191793924034,24,0.9486880446319079
uniform,gpt2,gpt2-large,29,14,-0.07304347826086956,0.7344671341768291,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,18,-0.06956521739130435,0.7466974841785088,24,0.9486880446319079
uniform,gpt2,gpt2-large,28,0,-0.06608695652173913,0.7589874525518234,24,0.9486880446319079
