family,model,layer,head,n_compounds,relative_layer_depth,rho,p_two_sided,q_bh_within_model,bootstrap_ci_low,bootstrap_ci_high,bootstrap_negative_fraction,bootstrap_valid_resamples,upper_tail_compound_count
olmo,OLMo-2-1124-13B,39,2,49,1.0,0.12448979591836734,0.3940727161338323,0.7266589091829532,-0.18111631521974564,0.43957212914420896,0.222,2000,0
olmo,OLMo-2-1124-13B,39,3,49,1.0,0.08112244897959184,0.5795019520163154,0.8424299218243666,-0.21435331362039997,0.3637380697277437,0.3015,2000,0
olmo,OLMo-2-1124-13B,39,4,49,1.0,0.0027551020408163266,0.985010330670415,0.9963096762010106,-0.26732813683976714,0.2609532956572755,0.489,2000,0
olmo,OLMo-2-1124-13B,39,5,49,1.0,0.33846938775510205,0.017368935164664392,0.2508846190451523,0.07027958772379952,0.5683859092019812,0.007,2000,0
olmo,OLMo-2-1124-13B,39,6,49,1.0,-0.10908163265306123,0.4556129332620465,0.766727266330952,-0.39142372067191156,0.16769405184098712,0.7905,2000,38
olmo,OLMo-2-1124-13B,39,7,49,1.0,0.1492857142857143,0.30594199447998605,0.6520075292196424,-0.15704403691284344,0.4281053354797261,0.1525,2000,0
olmo,OLMo-2-1124-13B,39,8,49,1.0,0.06193877551020408,0.6724521190466312,0.8834631049354066,-0.2209858183979744,0.31999871494224674,0.359,2000,4
olmo,OLMo-2-1124-13B,39,9,49,1.0,0.40183673469387754,0.004210343247090145,0.13949268954528993,0.13832993112089254,0.6247672930103557,0.0015,2000,2
olmo,OLMo-2-1124-13B,39,10,49,1.0,0.4027551020408163,0.0041162552844356635,0.13949268954528993,0.11059009069327787,0.6222582316043931,0.0035,2000,1
olmo,OLMo-2-1124-13B,39,11,49,1.0,-0.06887755102040816,0.6381725856255247,0.8834631049354066,-0.3311314224502159,0.2041627064038238,0.686,2000,0
olmo,OLMo-2-1124-13B,39,12,49,1.0,0.1380612244897959,0.344138040616148,0.6767037975103474,-0.14865047200489728,0.3987003140309597,0.1775,2000,0
olmo,OLMo-2-1124-13B,39,13,49,1.0,-0.0313265306122449,0.8307988211413224,0.9365487156526568,-0.2926946748339099,0.23626999376355678,0.5695,2000,0
olmo,OLMo-2-1124-13B,39,14,49,1.0,-0.007142857142857143,0.9611505485740951,0.9784216015175777,-0.27766853319478996,0.2678641282864111,0.5185,2000,0
olmo,OLMo-2-1124-13B,39,15,49,1.0,-0.25418367346938775,0.07799723995197937,0.4450591797488488,-0.5191498346780977,0.03989935986215129,0.956,2000,1
olmo,OLMo-2-1124-13B,39,16,49,1.0,0.13826530612244897,0.3434183460332549,0.6767037975103474,-0.16812691437988037,0.44668460750877914,0.192,2000,0
olmo,OLMo-2-1124-13B,39,17,49,1.0,-0.03163265306122449,0.8291699525235989,0.9365487156526568,-0.32708077709739547,0.2795660174819813,0.566,2000,0
olmo,OLMo-2-1124-13B,39,18,49,1.0,-0.2590816326530612,0.07224280477112655,0.4450591797488488,-0.495936751449805,0.020952422143674727,0.965,2000,0
olmo,OLMo-2-1124-13B,39,19,49,1.0,0.23938775510204083,0.09759216043709293,0.4577867874482504,-0.07389465908357513,0.511607633044327,0.0695,2000,0
olmo,OLMo-2-1124-13B,39,20,49,1.0,0.1929591836734694,0.1840564067390535,0.5265512338271244,-0.10882765016844477,0.4404664588974607,0.096,2000,0
olmo,OLMo-2-1124-13B,39,21,49,1.0,0.283265306122449,0.048578638781284725,0.40376609619480447,-0.013620803612676114,0.5478097498650659,0.0325,2000,1
olmo,OLMo-2-1124-13B,39,22,49,1.0,-0.04836734693877551,0.7413815584513683,0.9050356634860227,-0.3280993208875218,0.21592869683290747,0.6195,2000,0
olmo,OLMo-2-1124-13B,39,23,49,1.0,0.044387755102040814,0.7620099653694556,0.9126221188800097,-0.2586680996167643,0.3545207714714946,0.4035,2000,0
olmo,OLMo-2-1124-13B,39,24,49,1.0,0.21408163265306124,0.13965665859004664,0.4816025289677666,-0.08900358062854508,0.491855721048732,0.0815,2000,0
olmo,OLMo-2-1124-13B,39,25,49,1.0,-0.19377551020408162,0.182172032189966,0.5262747596599018,-0.483937572722551,0.12322084878531243,0.89,2000,7
olmo,OLMo-2-1124-13B,39,26,49,1.0,-0.06224489795918367,0.6709251581924506,0.8834631049354066,-0.35662637970289107,0.24510961049123867,0.6485,2000,0
olmo,OLMo-2-1124-13B,39,27,49,1.0,0.16438775510204082,0.25902123096709906,0.589532841973629,-0.15159623054245772,0.4641179987361725,0.16,2000,7
olmo,OLMo-2-1124-13B,39,28,49,1.0,-0.20979591836734693,0.14794815102753522,0.486917965407078,-0.46272821844965567,0.0804046509185487,0.929,2000,0
olmo,OLMo-2-1124-13B,39,29,49,1.0,-0.0636734693877551,0.6638167992577911,0.8834631049354066,-0.34680554005845987,0.2296056895605512,0.6555,2000,0
olmo,OLMo-2-1124-13B,39,30,49,1.0,0.08816326530612245,0.5469172234642288,0.8361409259784166,-0.21526229675835976,0.3646823591582413,0.281,2000,0
olmo,OLMo-2-1124-13B,39,31,49,1.0,0.17316326530612244,0.23409936630672074,0.5597384326637149,-0.14582828251131114,0.4827177771517795,0.1405,2000,0
olmo,OLMo-2-1124-13B,39,32,49,1.0,0.19653061224489796,0.1759145467596313,0.5174837379212786,-0.08044161103636999,0.46446693728944943,0.094,2000,7
olmo,OLMo-2-1124-13B,39,33,49,1.0,0.18775510204081633,0.19639823925097935,0.5319118979714025,-0.12285677362410925,0.48163147706298437,0.1235,2000,0
olmo,OLMo-2-1124-13B,39,34,49,1.0,0.16285714285714287,0.2635436411553222,0.5932584129903358,-0.13416132508738357,0.4547882096771706,0.1495,2000,0
olmo,OLMo-2-1124-13B,39,35,49,1.0,0.01163265306122449,0.9367708616821744,0.974595377558445,-0.2796810696640568,0.3173661571071187,0.4515,2000,0
olmo,OLMo-2-1124-13B,39,36,49,1.0,0.04908163265306122,0.7376975169379669,0.9050356634860227,-0.24860207961272446,0.32503707410435906,0.38,2000,0
olmo,OLMo-2-1124-13B,39,37,49,1.0,0.15112244897959184,0.2999614563528618,0.6445452781135873,-0.14787511230533046,0.4315071993413905,0.16,2000,19
olmo,OLMo-2-1124-13B,39,38,49,1.0,-0.3656122448979592,0.009785005436082638,0.20364210795717197,-0.6060020591533386,-0.08180954868390397,0.995,2000,0
olmo,OLMo-2-1124-13B,39,39,49,1.0,0.13938775510204082,0.33947667443075213,0.6767037975103474,-0.17025175870992454,0.4451079622468475,0.192,2000,0
olmo,OLMo-2-1124-7B,22,0,49,0.71875,-0.2512244897959184,0.0816451199678494,0.357896416297422,-0.5339918385518536,0.05298023113633651,0.9405,2000,1
olmo,OLMo-2-1124-7B,22,1,49,0.71875,-0.3445918367346939,0.01532329214571599,0.2024246087766841,-0.6088283839104224,-0.036061528472500666,0.987,2000,2
olmo,OLMo-2-1124-7B,22,2,49,0.71875,0.035408163265306124,0.8091410140594453,0.8940366273009918,-0.28132585079575334,0.3482715504126913,0.4175,2000,0
olmo,OLMo-2-1124-7B,22,3,49,0.71875,-0.008877551020408164,0.9517257410651785,0.9668324988598638,-0.29470336483113063,0.27266618973923806,0.5245,2000,0
olmo,OLMo-2-1124-7B,22,4,49,0.71875,-0.04551020408163265,0.7561744114068597,0.8641993273221253,-0.3453733826857161,0.2754173526810981,0.6095,2000,4
olmo,OLMo-2-1124-7B,22,5,49,0.71875,0.012040816326530613,0.9345570346471355,0.9541068636162918,-0.2963704061256056,0.3370479450502936,0.4745,2000,0
olmo,OLMo-2-1124-7B,22,6,49,0.71875,-0.28591836734693876,0.04642028632347301,0.25240123823314087,-0.558483506599684,0.004001511253525441,0.972,2000,1
olmo,OLMo-2-1124-7B,22,7,49,0.71875,-0.20316326530612244,0.1614893590908025,0.4484614967268826,-0.4588042135691074,0.08157732490826873,0.905,2000,0
olmo,OLMo-2-1124-7B,22,8,49,0.71875,-0.15040816326530612,0.3022781949642708,0.5827049541479918,-0.44108630103216273,0.16555449634136915,0.8405,2000,3
olmo,OLMo-2-1124-7B,22,9,49,0.71875,-0.22612244897959183,0.11821560742235804,0.4371711027501106,-0.471229217699702,0.06467941789595194,0.9425,2000,0
olmo,OLMo-2-1124-7B,22,10,49,0.71875,0.17183673469387756,0.23775713338120655,0.5187990511858299,-0.11811176389697717,0.4383133926154338,0.123,2000,0
